IRS_Number,Last_Name,First_Name,Street,Number,Postal_Code,City,First_Registration,Social_Security_Number
1212442214,Cruz,Zoey,Morris Street,61,10321,Prague,01/10/15,1537816112
1346306204,Barnes,Rebekah,Taylor Street,23,10792,Sofia,28/01/16,2042995836
1216784009,Hickman,Sabrina,Route 4,68,17537,Nizhny Novgorod,10/02/16,1293450717
1506914357,Brewer,Paityn,Lexington Drive,33,16136,Kazan,11/03/16,1622498593
1700855972,Meza,Colt,Cedar Avenue,69,13981,Brussels,24/03/16,1712573125
1950480753,Webb,Zane,Overlook Circle,74,12125,Samara,08/04/16,1334766912
2017130044,Lowe,Brooks,Cambridge Drive,28,12143,Belgrade,11/04/16,1992217528
1051964730,Carney,Macie,Cypress Court,56,17637,Rostov-on-Don,18/05/16,1514963230
1044420600,Barry,Megan,Cleveland Avenue,23,14633,Birmingham,16/06/16,1326187730
1430084616,Holder,Chase,Briarwood Drive,72,15187,Ufa,03/01/17,1027223683
1529620082,Baird,Hezekiah,3rd Street West,67,16526,Cologne,24/03/17,1594822733
1182756448,Hendricks,Amani,Homestead Drive,87,12745,Perm,25/05/17,1296185173
1071066478,Krause,Russell,Country Club Road,1,19886,Voronezh,20/06/17,1656926520
2070572495,Richardson,Fiona,New Street,46,15120,Volgograd,22/06/17,1209854678
1950341612,Lucero,Randall,1st Avenue,81,14074,Odessa,17/07/17,2031628580
1931158785,Rogers,Luis,Cambridge Road,89,12530,Naples,24/07/17,2033343242
1013376299,Pollard,Lizeth,Woodland Road,65,13750,Dnipro,14/09/17,1212883295
